clean_content,Aspek,Sentimen
begitu susah nya pesen tiket kereta lebaran lewat aplikasi ini benar benar tidak bisa membantu rakyat kecil kecewa dan kecewa,Kualitas,Negatif
sukaa bangett sama tokopedia tokopedia baikk banget aku komen di tiktok tokopedia dan minto jawabb dan juga kerenn bangett aplikasi nya tokopedia ter the bessstt pokoknya keren ada k pop2 wajib download dan murah2,Kualitas,Positif
saya mau pesan konsol gba tapi transaksi dibatalkan karena melanggar syarat dan ketentuan akhirnya sebesar 250 000 dikembalikan sebagai saldo refund saya mau pesan lagi konsol gba dengan metode pembayaran saldo tokopedia tapi tidak ada sebagai pengguna baru dan pertamakali memesan saya sangat kecewa,Pelayanan,Negatif
yang parah banget baru download aplikasi belanja online belum belanja barang sudah datang 3 hari kemudian ke alamat dari nama alamat dan nomor telepon sama dengan data kita kok bisa terpaksa ku tolak,Kualitas,Negatif
saya membantu banget dengan aplikasi ini tapi kenapa saya mau belanja tidak bs selesai di tahap pembayarannya pas mau pembayaran pasti balik lagi ke menu sebelumnya sudah saya hapus dan instal ulang aplikasinya tapi masih aja tidak bs buat belanja,Kualitas,Netral
update maksa banget tidak akan bisa buka kalau tidak update dengan frekuensi sering tanpa terasa apa yang sudah diubah dari update tersebut,Kualitas,Netral
masa pesen paket dari 4 desember sampai 9dsember belum sampek dalam pengiriman kuriirnya lelet banget sudah lah gimana ini tokopedia masa tidak di tegur kurirnya udah nunggu lama tidak dateng paketnya sampai emosi gimana ini kasih teguran lah kurirnya kalau mau tokopedia sukses tu kuriirnya yang disiplin gitu ah payahhhhh pihak tokopedia tolong kurirnya di tegur agar disiplin kya kurir shopee tu pesen barang cepat dan tidak lelet kaya tokopedia payahhh,Pelayanan,Positif
kalau anda mau memberikan hadiah pd aku aku terima berakti nyata dn yang tidak nyata yang tidak ad alamat saya makassar jln mappaodang nmr 78 warkop wawan oky oky lah kalauuuu begitu,Kualitas,Negatif
yang lain rebutan pengguna baru eh ini malah pengguna lama tidak bisa pakai voucher lagi y sudlah shopee jg banjir diskon wkwkwkwkw,Kualitas,Negatif
ni kalau bisa posting foto saya posting nih saya pesen barang dari tgl 26 juli sampe 12 agustus 2024 kagak ada kejelasan bilangnya barang dalam investigasi kurir tunggu 7hr sudah d return sampe d tokonya kembali dapat notif kalau lewat dari 2x24 jam tidak ada respon dari toko mau d kembalikan dananya ini sudah lebih dari 2x24jam chat tokopedia care sudah kek bool ngap ngep ngop doang solusinya suruh nunggu sedang investigasi kurir lahh kan sudah balik ke toko ribet banget aplikasi,Pelayanan,Netral
makin sini pakai tokopedia makin love tiap seller yang ada d tokopedia mengutamakan pengrmasan cepet dan pengiriman jga cepet bagett apa lagi bayak gratis ongkir sama cashback nya semoga tokopedia bisa terus memberikan inovasi dan fitur fitur menarik lainya,Pelayanan,Netral
gratis untuk penggguna baru itu bohong pas di cek out tidak bisa di batalkan sistem katanya husus pengguna baru lahh saya kan pengguna baru gimna sih tidak usah buat penipuan lah,Harga,Negatif
aplikasi ini jelek tapi boong aplikasi ini bagus buruan downlod,Kualitas,Positif
aplikasinya semakin amburadul mau masuk aja jaringan eror mulu ada gangguan aja kapan kamu tidak ada gangguan apa terganggu ketika banyak yang menggunakan,Kualitas,Negatif
tokopedia tidak bisa dipercaya bgtt shh saya sudah transaksi terus dibatalkan otomatis oleh tokopedia mending d ilangin aja ni aplikasi lebih nyaman belanja online d toko sebelah kecewaa sama tokopedia tokopedia prikkkk,Pelayanan,Negatif
apk bagus saran saya di ulasan pembeli dan lain2 diperbaiki karna sering loding lama karna pembeli biasanya liat dari rating orang2 dulu,Kualitas,Positif
saya ibu lusiana saya mau tanya yah jadi gini tadi pas saya buka artikel di facebook tiba ada kado suruh pilih 1 kado biar dapat voucher belanja yang pertama kosong yang kedua kosong juga ttus yang ketiga saya dapat voucher 780 ribu dan mau saya pakai tapi kok tidak bisa ya padahal tadi di kirim kode verifikasi dari tokopedianya kirim langsung ke no wattshap saya tapi kok masi tidak bisa ya itu maksudnya apa katanya saya member silver di situ,Pelayanan,Netral
kata nya gratis ongkir tapi lebih mahal ongkir nya dari pada harga barang nya,Harga,Netral
tolng ongkir ny agak di turunkan sama voubcher potongn diskound nya soal nya diskound ska ongkir nya lebih ngeri ongkir dri pada potingn diskound nya sama barang nya agai di kondiskn y untk online shop dimna pun jngn ksih bgrng cuci gudng yang sudah bkas kln jual di online shop jadi nya kmi kecwa sudah ongkir mahal barang nya nggk bgus y untk admind online shop,Harga,Netral
terimakasih udah dikasih traktiran gratis pengguna baru lagi butuh hedset kebetulan ini hrga yang 60ribuan dibqyarin tokopedia mantullll,Harga,Positif
sekarang gratis ongkir sama promo casback kenapa tidak bisa digabung parah parah,Harga,Negatif
kecewa banget download tokoped aku kira bakal terpercaya eh taunya mau co barang udah ku bayar lewat alfamart dibatalin otomatis sama yang jual n uangku tidak balik lagi sumpah jangan download tokoped kalau belum ada sistem cod lebih baik shope sama lazada sih aku tokoped tidak rekomend,Pelayanan,Positif
payah kenapa ribet banget buat daftar ajh susah tra sering banget banyak gangguan padahal sinyal bagus dan full tolong di perbaiki lagi ya buat aplikasi ny supaya enak sering terjadi masalah cek internet tidak jls banget sudah,Kualitas,Positif
sudah sangat jelek gratis ongkir dipisah tiap transaksi kena 1rb udah males belanja jadinya,Harga,Negatif
balikin ya duit saya saya udah byr dri pihal todped maen batalin melangar melangar apaan hah emngnya saya maling saya nga di balikin duit nya email bilang nya udah di balikin nyatanya belum tolong ya,Kualitas,Netral
tadinya 5 karena gratis ongkir tapi saya turunkan karena sekarang pakai ongkir dan mahal,Harga,Netral
pertama beli tidak ad masalah tapi pas kedua paket sudah dikirim diterima tapi saya tidak nerima orang d rumah sama tetangga tidak liat ada paket ini lagi komplain ama penjual mudah mudahan bisa mohon tokopedia di tingkat kan lagi ya padahal saya udha tunggu tunggu mainan nya buat nostalgia kecewa,Pelayanan,Positif
bagus banget banyak promo banyak diskon dari pada apk yang di sebelahh aslii ini benar benar baru daftar banyak banget gratisan nyaa,Harga,Positif
tolong kembalikan aplikasi yang bisa kirim ke banyak alamat lagi masa iya harus pakai desktop pakai desktop tokopedia now ngga ada,Kualitas,Positif
saya suka balanja di sini harga harga sesuai tidak seperti lainya harga murah tapi barangnya mengecewakan,Harga,Positif
kecewa lagi lagi sama ijo ngasih vc diskon tapi co di batalkan sistem gara2 toko toko yang tidak amanah awal order tanya kapan kirim bilang overload besok mau tanya lagi toko mendadak tutup buka baru minggu depan alhasil orderan beberapa hari terakhir saya co tiap hari jadi batal sistem semua asli kecewa bangetttt harusnya ada perpanjangan masa kemas apa gimanalah toko2 yang tidak amanah diblokir tolonglah sistem diperbaiki asliii kecewaaa bangettttttt 3 hari total 6 orderan lo batal semuaaa,Pelayanan,Positif
di akun saya cod di nonaktifkan padahal saya tidak pernah complain barang malah saya sering belanja malah unistal lah aplikasi busuk ini mah lazada bis cod yang lain jg kok tokopedia tidak saingan kamu bnyak pedia bukan hanya kamu aplikasi bekanja online ingat tuh,Pelayanan,Netral
yang blum download buruan sumpah ini apk nya mantep abis baru pertama download aja udah di traktir udah gitu dapet gratis ongkir huh seneng banget kekurangan nya cuman barang yang di jualnya blum lengkap aja sih menurutku,Kualitas,Netral
